Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product,Discounted Price
massimo sandwich loaf w.wheat germ 400g,3.5,8,massimo,"['bakery', 'best seller', 'bread', 'except alcohol', 'groceries']","['bakery', 'best seller', 'bread', 'massimo', 'whole wheat']",0.0,https://vsj.bites.com.my/collections/groceries/products/massimo-sandwich-loaf-w-wheat-germ-400g,
vitagen asst twin pack 2x5x125ml,9.9,20,vitagen,"['beverages', 'chilled juices & drinks', 'cny fair', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'milk']","['beverages', 'chilled drinks', 'cny fair', 'dairy', 'fridge', 'milk', 'on sale', 'vitagen']",2.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-asst-twin-pack-2x5x125ml,9.78
maggi curry 5x79g,6.25,46,maggi,"['canned food & instant meals', 'childhood memories', 'childhood memories', 'except alcohol', 'groceries', 'pantry']","['childhood memories', 'groceries', 'instant food', 'instant meals', 'instant noodles', 'maggi', 'on sale', 'pantry']",8.0,https://vsj.bites.com.my/collections/groceries/products/maggi-curry-5x79g,5.78
jasmine sunwhite fragrant rice 5kg,37.05,3,jasmine,"['cny fair', 'except alcohol', 'groceries', 'pantry', 'pasta', 'rice & noodles', 'rice']","['cny fair', 'fragrant rice', 'groceries', 'jasmine', 'on sale', 'pantry', 'rice']",14.0,https://vsj.bites.com.my/collections/groceries/products/jasmine-sunwhite-fragrant-rice-5kg,31.88
vitagen less sugar asst twin pack 2x5x125ml,10.65,9,vitagen,"['beverages', 'chilled juices & drinks', 'christmas fair', 'cold beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries']","['beverages', 'chilled drinks', 'christmas fair', 'cultured milk', 'dairy', 'fridge', 'groceries', 'vitagen']",0.0,https://vsj.bites.com.my/collections/groceries/products/vitagen-less-sugar-asst-twin-pack-2x5x125ml,
mission tortilla original wraps 360g,8.6,16,mission,"['bakery', 'bread', 'except alcohol', 'groceries']","['bakery', 'bread', 'groceries', 'mission']",0.0,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-original-wraps-360g,
dutch lady uht full cream 3x1l,21.7,9999,dutch lady,"['beverages', 'dairy & eggs', 'except alcohol', 'fridge', 'groceries', 'uht milk']","['beverages', 'dairy', 'dutch lady', 'groceries', 'on sale', 'uht milk']",13.0,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-full-cream-3x1l,18.88
anchor wheat flour 1kg,3.9,62,anchor,"['baking ingredients', 'except alcohol', 'groceries', 'pantry']","['anchor', 'baking', 'flour', 'groceries', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/anchor-wheat-flour-1kg,
arnotts tim tam original 200g,15.5,30,arnott's,"['biscuits & cookies', 'christmas fair', 'except alcohol', 'groceries', 'october deals', 'pantry', 'snacks & sweets']","[""arnott's"", 'biscuits', 'christmas fair', 'cookies', 'groceries', 'october deals', 'on sale', 'pantry', 'snacks']",8.0,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-original-200g,14.28
gardenia numee yellow noodles 450g,2.0,5,gardenia,"['except alcohol', 'groceries', 'pantry']","['gardenia', 'groceries', 'noodle', 'pantry']",0.0,https://vsj.bites.com.my/collections/groceries/products/gardenia-numee-yellow-noodles-450g,
